processo_ano;denominacao;denominacao_completa;categoria;classe_subclasse;municipio;distrito;ato_legal;livro_de_tombo
PTE127/2002;Igreja Matriz de Nossa Senhora de Oliveira;Igreja Matriz de Nossa Senhora de Oliveira;BI;"Edificação e acervo; templo";Oliveira;Oliveira;Tombamento aprovado em 14 de agosto de 2002 e inscrição referendada pela nota jurídica 2554/2010 da AGE;II, III, IV
PTE128/2004;Fazenda Santo Antônio;Fazenda Santo Antônio;CP;Conjunto rural;Esmeraldas;Esmeraldas;Tombamento aprovado em 25 de agosto de 2004 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, II, III
PTE129/2004;Conjunto arquitetônico e paisagístico da Vila Elisa, Vila Operária e antiga Fábrica de Tecidos Marzagão;Conjunto arquitetônico e paisagístico da Vila Elisa, Vila Operária e antiga Fábrica de Tecidos Marzagão;CP;"Conjunto urbano; indústria";Sabará;Carvalho de Brito;Tombamento aprovado em 26 de outubro de 2004 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, II, III
PTE130/2005;Conjunto arquitetônico e paisagístico e acervo do Museu Mariano Procópio;Conjunto arquitetônico e paisagístico e acervo do Museu Mariano Procópio;CP;"Conjunto arquitetônico; jardim histórico; acervo";Juiz de Fora;Juiz de Fora;Tombamento aprovado em 28 de março de 2005 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, II, III, IV
PTE131/2005;Edifício sede do antigo Banco de Crédito Real e acervo do Museu do Crédito Real;Edifício sede do antigo Banco de Crédito Real e acervo do Museu do Crédito Real;BI;Edificação e acervo;Juiz de Fora;Juiz de Fora;Tombamento aprovado em 28 de março de 2005 e inscrição referendada pela nota jurídica 2554/2010 da AGE;II, III, IV
PTE132/2005;Conjunto arquitetônico das antigas estações da Central do Brasil e da Estrada de Ferro Leopoldina e acervo do Museu Ferroviário de Juiz de Fora;Conjunto arquitetônico das antigas estações da Central do Brasil e da Estrada de Ferro Leopoldina e acervo do Museu Ferroviário de Juiz de Fora;CP;"Conjunto arquitetônico; acervo; ferrovia";Juiz de Fora;Juiz de Fora;Tombamento aprovado em 28 de março de 2005 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, II, III, IV
PTE133/2005;Conjunto arquitetônico e paisagístico e acervo do Museu da Usina de Marmelos;Conjunto arquitetônico e paisagístico e acervo do Museu da Usina de Marmelos;CP;"Estrutura ou equipamento urbano; indústria; acervo";Juiz de Fora;Juiz de Fora;Tombamento aprovado em 28 de março de 2005 e inscrição referendada pela nota jurídica 2554/2010 da AGE;I, III, IV
PTE134/2005;Acervo do Museu da Escola de Minas Gerais;Acervo do Museu da Escola de Minas Gerais (do Centro de Referência do Professor);BM;Bem móvel ou integrado;Belo Horizonte;Belo Horizonte;Tombamento aprovado em 26 de setembro de 2005 e inscrição referendada pela nota jurídica 2554/2010  da AGE;III
PTE135/2008;Conjunto histórico e paisagístico da Serra da Calçada;Conjunto histórico e paisagístico da Serra da Calçada;CP;"Patrimônio Natural; sítio arqueológico";Brumadinho, Nova Lima;Brumadinho, Piedade do Paraopeba, Nova Lima;Deliberação CONEP 04/2008, de 30 de junho de 2008;0
PTE136/2002;Conjunto paisagístico e arquitetônico da antiga Estação da Estrada de Ferro Goiás;Conjunto paisagístico e arquitetônico da antiga Estação da Estrada de Ferro Goiás;CP;"Conjunto urbano; ferrovia";Araguari;Araguari;Deliberação CONEP 05/2008, de 30 de junho de 2008;II, III
PTE137/2008;Casa Wenceslau Braz;Casa Wenceslau Braz;BI;Edificação;Itajubá;Itajubá;Deliberação CONEP 06/2008 de 30 de junho de 2008;II, III, IV
